,Company Name,Address,Phone,votes,ratings,latitude,longitude
0,Homeocare International Pvt..,"House No 1, 1st Temple Street 15th Cross, Indiranagar, Bangalore - 560038, Behind Adigas Restaurant",07947155902,302Votes,3.6,12.981192,77.636542
1,Kauvery Hospitals Bangalore,"Survey No 92/1 B, HP Avenue, Konappana Agrahara Village Begur Hobli, Electronic City, Bangalore - 560100",07947333183,514Votes,4.3,12.8544266667,77.6628883333
2,Fortis Hospital,"Building No 119 , Survey No :23, 80feet Road, Gurukrupa Layout, Nagarbhavi, Bangalore - 560072",07947215544,2885Votes,4.1,12.959436,77.511276
3,Parimala Health Care Servic..,"No.12/13, Bannerghatta road, Bannerghatta Road, Bangalore - 560076, Near bilekahalli Bus Stop",07947157418,108Votes,4.0,12.899959,77.601196
4,Shraddha Healthcare And Nur..,"No 3,4 &amp; 5,Patients First, 7th Main Road,1st Block, Koramangala, Bangalore - 560034, Near Wipro Park",07947155012,469Votes,3.9,12.926592,77.633577
5,Life Care Hospital (Lch),"No.23/24, 20th Main, Gangothri Circle, Btm Layout 1st Stage, Bangalore - 560029, Near Gangothri Bar and Restaurant",+(91)-080-6846677,3185Votes,4.4,12.9193885,77.612994
6,Prashanth Hospital,"No.90/D, Hosur Main Road, Bommanahalli, Bangalore - 560068",07947154231,635Votes,3.7,12.9065634,77.6287203
7,Manipal North Side Hospital,"No. 71, 11th Main, Malleswaram, Bangalore - 560003, Opposite Railway Station",07947157302,3006Votes,4.1,13.000978,77.563942
8,Virat Multispeciality Hospi..,"No 1637/679,, Kogilu Main Road, Yelahanka, Bangalore - 560064, Maruthi Nagar Bus Stop",07947351225,2Votes,3.5,13.100901,77.596754
9,Shree Vaishnavi Health Cent..,"No 02, Doddabidarakallu Main Road, DODDABIDARAKALLU, Bangalore - 560073, Opp SB Medicals Near Arch",08045791070,3Votes,5.0,13.036383057174,77.493716431313
10,Jyotsna Hospital,"# 09 Akshay Nagar TC Palya Main Road, Kowdenahalli, Ramamurthy Nagar, Bangalore - 560016, Opposite to Vishal Mega Mart",07947460054,47Votes,4.6,13.021226,77.677427
11,Ak Ayurvedic Clinic,"NO 122/4, HOSUR ROAD, Attibele, Bangalore - 562107",07947285741,2Votes,3.5,12.777589,77.770659
12,Siliconcity Hospitals,"Site No 12,21 and 11,22, Old Madras Road,Hoskote Town,AIR Layout, Hoskote, Bangalore - 562114, Near BMTC Bus Depo",07947161435,51Votes,3.8,13.068657,77.781321
13,Kasper Multi Speaciality Cl..,"No 31, 100ft Road Indiranagar, Indiranagar, Bangalore - 560038, Near Domlur Flyover",08045789697,27Votes,4.5,12.979007,77.637763
14,Varalakshmi Hospital,"No.38/2, 2nd Main Road, Madivala New Extension, Madiwala, Bangalore - 560068, Behind Ayyappa Temple",07947154672,199Votes,3.9,12.9245777,77.6170137
15,Aashirvad Healthcare Centnr..,"No 73 NPR COMPLEX, S L N Temple Road, Marathahalli, Bangalore - 560037, Beside Sri Lakshmi Narayana Temple",07947161153,13Votes,4.0,12.964842589584,77.67396681018
16,A V Multispeciality Hospita..,"No.781, 782, 100 Feet Main Road, 7th Block, Banashankari 3rd Stage, Bangalore - 560085, Opposite Little Flower Public School",07947162715,264Votes,4.1,12.9327366,77.5409162
17,Bangalore Cancer Center Pvt..,"No 118/1-2,, Mookambika Temple Road, Machohalli Forest Gate, Magadi Main Road, Bangalore - 560091",07947167029,11Votes,4.5,12.990588,77.4582247
18,Kubra Maternity And Nursing..,"No.26/10, Mosque Road, Bismillanagar, Btm Layout 1st Stage, Bangalore - 560029, Near Sagar Apollo Hospital",07947154890,68Votes,4.0,12.9268936,77.6039611
19,Dmr Polyclinic,"No.152, Ground Floor, 13th Main, 1st Cross, Bank Officers Colony, BTM Layout 1st Stage, Bangalore - 560068, Opposite to Bangalore One",07947298212,31Votes,4.8,12.917025,77.6087689722
20,Kanjira Ayurveda and Beauty..,"No 112, Ramireddy Building,, Doddathogur, Electronic City Phase 1, Bangalore - 560100, Near Munishwara Temple",07947161899,311Votes,4.6,12.8511662,77.6510144
21,Marvel Multispeciality Hosp..,"No 153, 1st Block,1st Cross, Koramangala, Bangalore - 560034, Near Jakkasandra Bus Stop",07947156202,633Votes,4.1,12.9254774,77.6359863
22,Manipal Hospital,"No 45/1, 45th Cross, Jayanagar 9th Block, Bangalore - 560069, Opposite Bangalore Central",07947155959,3421Votes,4.2,12.917121,77.591819
23,Cleveland Neurocare Multi S..,"No 1060 Cherry Complex, 8th Main Road Kuttiyappa Garden Vijaya Bank Layout, Bilekahalli, Bangalore - 560076, Opp to Bbmp Office",07947167042,30Votes,4.8,12.8950174,77.6094203
24,Sri Sai Ram Hospitals,"No. 6, J C Industrial Area, Yellechenahallli Post, Kanakapura Road, Bangalore - 560062, Near Metro",07947155878,535Votes,3.8,12.8943704,77.56827
25,Sri Deepa Hospital And Medi..,"No.644, 5th Block,, 60ft Road,, Vishweshwaraiah Layout, Bangalore - 560056, Near Ullal Upnagara, Next to Udupi Veg Hotel",08045789184,25Votes,4.3,12.958174194444,77.481662472222
26,Medcare Hospital,"No.12, SS Temple Street, V V Puram, Bangalore - 560004, Behind VV Puram Law College",07947160698,147Votes,4.2,12.953044,77.57417
27,Springleaf Healthcare,"No 60/3 Hosur Main Road, Konappanna Aghara, Electronic City, Bangalore - 560100, Opposite Infosys and Pillar No 228",07947154691,392Votes,3.7,12.8526069,77.6676044
28,Shastra Multi Speciality Ho..,"No 52 Huskur Gate, Hosur Main Road, Electronic City, Bangalore - 560100",07947462871,84Votes,4.5,12.8357745,77.6791122
29,Fair Deal Pharma,"No.164, 1st Floor, Sultanpet Main Road, Bangalore - 560053, Near Rajkumar Papers",07947154424,29Votes,4.3,12.969788419,77.572155086
30,Smt. Jayadevi Memorial Hosp..,"No.284/16, Chikka Gollarahatti, Dasanapura Hobli, Kachohalli, Bangalore - 560091, Opp to Chikkagollarahatti Main Bus Stop",07947165451,1Votes,4.5,12.9916907,77.4648505
31,Health INDIA Hospital,"No. 7, 6th Cross, Tavarekere Main Road, Chikka Adugodi, Bangalore - 560029, Near Home Needs Supermarket",07947436760,346Votes,3.2,12.926357,77.609052
32,Sri Matru Hospital,"No. 2094,, Railway Parallel Road,, Kengeri Satelite Town, Bangalore - 560060, Near Kengeri Flyover",07947198778,1Votes,5.0,12.92321,77.484477
